raceyear,drivername,win,cumwin,racedate
1987,hamilton,0,0,1987-01-01
1987,hanks,0,1,1987-01-01
1987,hawthorn,0,3,1987-01-01
1987,herbert,0,0,1987-01-01
1987,hill,0,14,1987-01-01
1987,hulme,0,8,1987-01-01
1987,hunt,0,10,1987-01-01
1987,ickx,0,8,1987-01-01
1987,ireland,0,1,1987-01-01
1987,irvine,0,0,1987-01-01
1987,jabouille,0,2,1987-01-01
1987,jack_brabham,0,14,1987-01-01
1987,jones,0,12,1987-01-01
1987,keke_rosberg,0,5,1987-01-01
1987,kovalainen,0,0,1987-01-01
1987,kubica,0,0,1987-01-01
1987,laffite,0,6,1987-01-01
1987,lauda,0,25,1987-01-01
1987,leclerc,0,0,1987-01-01
1987,maldonado,0,0,1987-01-01
1987,mario_andretti,0,12,1987-01-01
1987,mass,0,1,1987-01-01
1987,massa,0,0,1987-01-01
1987,max_verstappen,0,0,1987-01-01
1987,mclaren,0,4,1987-01-01
1987,michael_schumacher,0,0,1987-01-01
1987,montoya,0,0,1987-01-01
1987,moss,0,16,1987-01-01
1987,musso,0,1,1987-01-01
1987,nannini,0,0,1987-01-01
1987,nilsson,0,1,1987-01-01
1987,pace,0,1,1987-01-01
1987,panis,0,0,1987-01-01
1987,parsons,0,1,1987-01-01
1987,patrese,0,2,1987-01-01
1987,peterson,0,10,1987-01-01
1987,phil_hill,0,3,1987-01-01
1987,pironi,0,3,1987-01-01
1987,raikkonen,0,0,1987-01-01
1987,ralf_schumacher,0,0,1987-01-01
1987,rathmann,0,1,1987-01-01
1987,regazzoni,0,5,1987-01-01
1987,reutemann,0,12,1987-01-01
1987,revson,0,2,1987-01-01
1987,ricciardo,0,0,1987-01-01
1987,rindt,0,6,1987-01-01
1987,rodriguez,0,2,1987-01-01
1987,rosberg,0,0,1987-01-01
1987,ruttman,0,1,1987-01-01
1987,scarfiotti,0,1,1987-01-01
1987,scheckter,0,10,1987-01-01
1987,siffert,0,2,1987-01-01
1987,stewart,0,27,1987-01-01
1987,surtees,0,6,1987-01-01
1987,sweikert,0,1,1987-01-01
1987,tambay,0,2,1987-01-01
1987,taruffi,0,1,1987-01-01
1987,trintignant,0,2,1987-01-01
1987,trips,0,2,1987-01-01
1987,trulli,0,0,1987-01-01
1987,vettel,0,0,1987-01-01
1987,villeneuve,0,0,1987-01-01
1987,vukovich,0,2,1987-01-01
1987,wallard,0,1,1987-01-01
1987,ward,0,1,1987-01-01
1987,watson,0,5,1987-01-01
1987,webber,0,0,1987-01-01
1988,berger,1,4,1988-01-01
1988,prost,7,35,1988-01-01
1988,senna,8,14,1988-01-01
1988,alboreto,0,5,1988-01-01
1988,alesi,0,0,1988-01-01
1988,alonso,0,0,1988-01-01
1988,angelis,0,2,1988-01-01
1988,arnoux,0,7,1988-01-01
1988,ascari,0,13,1988-01-01
1988,baghetti,0,1,1988-01-01
1988,bandini,0,1,1988-01-01
1988,barrichello,0,0,1988-01-01
1988,beltoise,0,1,1988-01-01
1988,bonnier,0,1,1988-01-01
1988,bottas,0,0,1988-01-01
1988,boutsen,0,0,1988-01-01
1988,brambilla,0,1,1988-01-01
1988,brooks,0,6,1988-01-01
1988,bryan,0,1,1988-01-01
1988,button,0,0,1988-01-01
